id,elect_div,area_sqkm,long,lat
0,Bean,1913.71,148.96350090717988,-35.548065128046936
1,Canberra,312.24,149.19314990609118,-35.28793018012293
2,Fenner,238.06,149.08337441531157,-35.197951747520705
3,Aston,123.67,145.26015945421997,-37.884444268466346
4,Ballarat,5322.81,143.9066504564366,-37.615235625130794
5,Bendigo,6177.84,144.4123593650636,-36.855882482026026
6,Bruce,141.6,145.29597997048174,-38.000658647752005
7,Calwell,191.17,144.89266440331212,-37.599650671809655
8,Casey,2623.84,145.6743534373413,-37.71167220480858
9,Chisholm,72.7,145.12588672857726,-37.87332060745102
10,Cooper,61.07,145.01274507051423,-37.738204336073615
11,Corangamite,639.9,144.45037464504048,-38.23206862281869
12,Corio,1216.35,144.35558096415065,-37.991352605769045
13,Deakin,98.38,145.22888898053608,-37.80773629553521
14,Dunkley,147.83,145.16767572657636,-38.1320230714961
15,Flinders,887.31,145.11628071918116,-38.34406055223101
16,Fraser,97.57,144.83609085376818,-37.78443254108681
17,Gellibrand,144.26,144.7821948258911,-37.862874072468294
18,Gippsland,33130.5,147.76301893051303,-37.59190117087976
19,Goldstein,56.38,145.02458979013844,-37.93350454089273
20,Gorton,207.44,144.7058194497163,-37.74213888592386
21,Hawke,1985.85,144.4530331799874,-37.64176824845444
22,Holt,252.38,145.30188260377932,-38.152779558102296
23,Hotham,81.06,145.12198951150316,-37.92376206009281
24,Indi,29188.36,146.61108088987672,-36.73447205967203
25,Isaacs,158.32,145.15569681422946,-38.009318666666914
26,Jagajaga,137.28,145.14505460913912,-37.714938311281
27,Kooyong,59.18,145.05234227396366,-37.81906432555407
28,La Trobe,1303.16,145.5680052397449,-38.085038165025544
29,Lalor,179.71,144.65725541045683,-37.874874770730116
30,Macnamara,38.39,144.97241948076424,-37.8537025168426
31,Mallee,83411.73,142.37916298937336,-35.86037234412437
32,Maribyrnong,69.92,144.8922716889693,-37.73895095894961
33,Mcewen,2288,144.88231320033512,-37.427966847718544
34,Melbourne,39.37,144.96851188054634,-37.81328995444147
35,Menzies,102.15,145.1534856221175,-37.7778532912021
36,Monash,8255.11,146.05060013625513,-38.29540090113253
37,Nicholls,14115.78,145.19209642421288,-36.42200473157967
